## Format: module_id | questions (comma-separated)
## Dla CLI: łatwo parsewalny format CSV

1|3,20,22,27,28,60,83,84,85,87,88,89,105,112,114,120,122,175,179,181,185,186,187,202,225,245,255,298,321,323,326,351,367,384,387,392,403,406,407,416,419
2|2,5,8,9,15,23,34,35,52,79,81,97,104,106,134,137,165,174,176,177,198,213,215,222,227,249,254,259,260,261,288,330,347,372,373,409,423
3|10,19,25,41,43,51,69,71,95,108,115,127,129,132,133,149,157,188,200,217,223,256,281,307,314,331,332,334,336,337,343,345,355,358,359,360,376,378,389,402,412,415,422
4|1,18,21,36,38,39,40,45,63,70,73,74,94,96,103,109,118,125,140,153,154,158,169,170,201,205,206,207,208,209,210,211,242,250,271,279,285,294,296,299,309,328,335,338,339,340,341,342,344,356,361,371,394,420
5|4,14,17,82,107,110,138,141,150,152,178,189,190,191,203,204,231,243,251,252,265,282,311,312,317,363,364,374,411,424
6|12,13,29,37,46,47,49,50,53,54,57,58,64,66,67,68,76,78,80,86,101,116,147,148,161,166,167,168,216,224,226,238,239,248,262,269,272,273,283,284,293,297,300,301,302,303,310,316,333,346,349,350,352,353,357,365,375,377,382,383,386,388,391,393,396,398,401,408,414,421,425,427
7|2,6,24,30,44,48,52,55,56,59,62,65,72,75,128,193,196,214,253,270,274,277,278,280,286,287,290,291,304,305,306,313,315,318,319,324,362,379,380,381,385,390,395,397,399,400,404,405,410,413
8|7,16,31,32,33,61,84,92,98,99,100,111,119,121,123,130,131,135,142,143,145,146,155,159,162,163,164,182,183,184,229,240,244,247,257,258,263,264,329,354,417,418,426
9|6,11,26,90,91,93,117,139,151,156,169,172,173,180,187,192,194,195,197,199,212,218,219,220,221,230,232,233,234,235,236,237,241,246,266,267,268,275,276,320,322,325,327,366,368,369,371,428

## LEGENDA MODUŁÓW:
## Moduł 1: Fundamenty Kryptografii
## Moduł 2: Uwierzytelnianie i Zarządzanie Tożsamością  
## Moduł 3: Bezpieczeństwo Sieci (Firewalle i Filtrowanie)
## Moduł 4: Bezpieczeństwo Sieci (VPN i Protokoły Tunelowania)
## Moduł 5: Bezpieczeństwo Sieci (Usługi i Kontrola Dostępu)
## Moduł 6: Kontrola Dostępu w Systemach (Linux/POSIX)
## Moduł 7: Kontrola Dostępu w Systemach (Windows)
## Moduł 8: Ataki, Podatności i Obrona
## Moduł 9: Wirtualizacja i Bezpieczeństwo Sprzętowe 
